product,price,quantity,date,region,sales
magenta morsel,2.5,557,08-02-2018,east,1392.5
magenta morsel,2.5,514,08-02-2018,west,1285
chartreuse morsel,3,600,08-02-2018,north,1800
chartreuse morsel,3,542,08-02-2018,south,1626
chartreuse morsel,3,535,08-02-2018,east,1605
chartreuse morsel,3,510,08-02-2018,west,1530
periwinkle morsel,1.25,504,08-02-2018,north,630
periwinkle morsel,1.25,529,08-02-2018,south,661.25
periwinkle morsel,1.25,579,08-02-2018,east,723.75
periwinkle morsel,1.25,511,08-02-2018,west,638.75
vermilion morsel,4.99,500,08-02-2018,north,2495
vermilion morsel,4.99,520,08-02-2018,south,2594.8
vermilion morsel,4.99,537,08-02-2018,east,2679.63
vermilion morsel,4.99,600,08-02-2018,west,2994
lapis morsel,1.99,565,08-02-2018,north,1124.35
lapis morsel,1.99,501,08-02-2018,south,996.99
lapis morsel,1.99,533,08-02-2018,east,1060.67
lapis morsel,1.99,500,08-02-2018,west,995
pink morsel,3,586,09-02-2018,north,1758
pink morsel,3,554,09-02-2018,south,1662
pink morsel,3,594,09-02-2018,east,1782
pink morsel,3,505,09-02-2018,west,1515
gold morsel,9.99,597,09-02-2018,north,5964.03
gold morsel,9.99,584,09-02-2018,south,5834.16
gold morsel,9.99,553,09-02-2018,east,5524.47
gold morsel,9.99,584,09-02-2018,west,5834.16
magenta morsel,2.5,594,09-02-2018,north,1485
magenta morsel,2.5,568,09-02-2018,south,1420
magenta morsel,2.5,556,09-02-2018,east,1390
magenta morsel,2.5,579,09-02-2018,west,1447.5
chartreuse morsel,3,588,09-02-2018,north,1764
chartreuse morsel,3,540,09-02-2018,south,1620
chartreuse morsel,3,543,09-02-2018,east,1629
chartreuse morsel,3,558,09-02-2018,west,1674
periwinkle morsel,1.25,578,09-02-2018,north,722.5
periwinkle morsel,1.25,518,09-02-2018,south,647.5
periwinkle morsel,1.25,591,09-02-2018,east,738.75
periwinkle morsel,1.25,525,09-02-2018,west,656.25
vermilion morsel,4.99,565,09-02-2018,north,2819.35
vermilion morsel,4.99,600,09-02-2018,south,2994
vermilion morsel,4.99,574,09-02-2018,east,2864.26
vermilion morsel,4.99,511,09-02-2018,west,2549.89
lapis morsel,1.99,512,09-02-2018,north,1018.88
lapis morsel,1.99,540,09-02-2018,south,1074.6
lapis morsel,1.99,575,09-02-2018,east,1144.25
lapis morsel,1.99,518,09-02-2018,west,1030.82
pink morsel,3,554,10-02-2018,north,1662
pink morsel,3,519,10-02-2018,south,1557
pink morsel,3,550,10-02-2018,east,1650
pink morsel,3,558,10-02-2018,west,1674
gold morsel,9.99,509,10-02-2018,north,5084.91
gold morsel,9.99,548,10-02-2018,south,5474.52
gold morsel,9.99,517,10-02-2018,east,5164.83
gold morsel,9.99,523,10-02-2018,west,5224.77
magenta morsel,2.5,600,10-02-2018,north,1500
magenta morsel,2.5,562,10-02-2018,south,1405
magenta morsel,2.5,576,10-02-2018,east,1440
magenta morsel,2.5,511,10-02-2018,west,1277.5
chartreuse morsel,3,591,10-02-2018,north,1773
chartreuse morsel,3,569,10-02-2018,south,1707
chartreuse morsel,3,577,10-02-2018,east,1731
chartreuse morsel,3,545,10-02-2018,west,1635
periwinkle morsel,1.25,546,10-02-2018,north,682.5
periwinkle morsel,1.25,550,10-02-2018,south,687.5
periwinkle morsel,1.25,519,10-02-2018,east,648.75
periwinkle morsel,1.25,586,10-02-2018,west,732.5
vermilion morsel,4.99,537,10-02-2018,north,2679.63
vermilion morsel,4.99,571,10-02-2018,south,2849.29
vermilion morsel,4.99,546,10-02-2018,east,2724.54
vermilion morsel,4.99,549,10-02-2018,west,2739.51
lapis morsel,1.99,599,10-02-2018,north,1192.01
lapis morsel,1.99,570,10-02-2018,south,1134.3
lapis morsel,1.99,557,10-02-2018,east,1108.43
lapis morsel,1.99,580,10-02-2018,west,1154.2
pink morsel,3,518,11-02-2018,north,1554
pink morsel,3,529,11-02-2018,south,1587
pink morsel,3,521,11-02-2018,east,1563
pink morsel,3,588,11-02-2018,west,1764
gold morsel,9.99,518,11-02-2018,north,5174.82
gold morsel,9.99,578,11-02-2018,south,5774.22
gold morsel,9.99,534,11-02-2018,east,5334.66
gold morsel,9.99,508,11-02-2018,west,5074.92
magenta morsel,2.5,579,11-02-2018,north,1447.5
magenta morsel,2.5,516,11-02-2018,south,1290
magenta morsel,2.5,543,11-02-2018,east,1357.5
magenta morsel,2.5,500,11-02-2018,west,1250
chartreuse morsel,3,589,11-02-2018,north,1767
chartreuse morsel,3,511,11-02-2018,south,1533
chartreuse morsel,3,550,11-02-2018,east,1650
chartreuse morsel,3,515,11-02-2018,west,1545
periwinkle morsel,1.25,572,11-02-2018,north,715
periwinkle morsel,1.25,503,11-02-2018,south,628.75
periwinkle morsel,1.25,545,11-02-2018,east,681.25
periwinkle morsel,1.25,540,11-02-2018,west,675
vermilion morsel,4.99,521,11-02-2018,north,2599.79
vermilion morsel,4.99,503,11-02-2018,south,2509.97
vermilion morsel,4.99,558,11-02-2018,east,2784.42
vermilion morsel,4.99,548,11-02-2018,west,2734.52
lapis morsel,1.99,501,11-02-2018,north,996.99
lapis morsel,1.99,567,11-02-2018,south,1128.33
lapis morsel,1.99,543,11-02-2018,east,1080.57
lapis morsel,1.99,579,11-02-2018,west,1152.21
pink morsel,3,586,12-02-2018,north,1758
pink morsel,3,536,12-02-2018,south,1608
pink morsel,3,523,12-02-2018,east,1569
pink morsel,3,551,12-02-2018,west,1653
gold morsel,9.99,534,12-02-2018,north,5334.66
gold morsel,9.99,543,12-02-2018,south,5424.57
gold morsel,9.99,511,12-02-2018,east,5104.89
gold morsel,9.99,515,12-02-2018,west,5144.85
magenta morsel,2.5,500,12-02-2018,north,1250
magenta morsel,2.5,532,12-02-2018,south,1330
magenta morsel,2.5,517,12-02-2018,east,1292.5
magenta morsel,2.5,530,12-02-2018,west,1325
chartreuse morsel,3,541,12-02-2018,north,1623
chartreuse morsel,3,521,12-02-2018,south,1563
chartreuse morsel,3,531,12-02-2018,east,1593
chartreuse morsel,3,509,12-02-2018,west,1527
periwinkle morsel,1.25,522,12-02-2018,north,652.5
periwinkle morsel,1.25,502,12-02-2018,south,627.5
periwinkle morsel,1.25,522,12-02-2018,east,652.5
periwinkle morsel,1.25,579,12-02-2018,west,723.75
vermilion morsel,4.99,509,12-02-2018,north,2539.91
vermilion morsel,4.99,594,12-02-2018,south,2964.06
vermilion morsel,4.99,580,12-02-2018,east,2894.2
vermilion morsel,4.99,523,12-02-2018,west,2609.77
lapis morsel,1.99,578,12-02-2018,north,1150.22
lapis morsel,1.99,573,12-02-2018,south,1140.27
lapis morsel,1.99,523,12-02-2018,east,1040.77
lapis morsel,1.99,507,12-02-2018,west,1008.93
pink morsel,3,524,13-02-2018,north,1572
pink morsel,3,572,13-02-2018,south,1716
pink morsel,3,591,13-02-2018,east,1773
pink morsel,3,575,13-02-2018,west,1725
gold morsel,9.99,521,13-02-2018,north,5204.79
gold morsel,9.99,584,13-02-2018,south,5834.16
gold morsel,9.99,516,13-02-2018,east,5154.84
gold morsel,9.99,517,13-02-2018,west,5164.83
magenta morsel,2.5,547,13-02-2018,north,1367.5
magenta morsel,2.5,597,13-02-2018,south,1492.5
magenta morsel,2.5,599,13-02-2018,east,1497.5
magenta morsel,2.5,585,13-02-2018,west,1462.5
chartreuse morsel,3,578,13-02-2018,north,1734
chartreuse morsel,3,572,13-02-2018,south,1716
chartreuse morsel,3,590,13-02-2018,east,1770
chartreuse morsel,3,512,13-02-2018,west,1536
periwinkle morsel,1.25,515,13-02-2018,north,643.75
periwinkle morsel,1.25,504,13-02-2018,south,630
periwinkle morsel,1.25,538,13-02-2018,east,672.5
periwinkle morsel,1.25,515,13-02-2018,west,643.75
vermilion morsel,4.99,585,13-02-2018,north,2919.15
vermilion morsel,4.99,571,13-02-2018,south,2849.29
vermilion morsel,4.99,538,13-02-2018,east,2684.62
vermilion morsel,4.99,500,13-02-2018,west,2495
lapis morsel,1.99,501,13-02-2018,north,996.99
lapis morsel,1.99,541,13-02-2018,south,1076.59
lapis morsel,1.99,564,13-02-2018,east,1122.36
lapis morsel,1.99,501,13-02-2018,west,996.99
pink morsel,3,589,14-02-2018,north,1767
pink morsel,3,570,14-02-2018,south,1710
pink morsel,3,566,14-02-2018,east,1698
pink morsel,3,504,14-02-2018,west,1512
gold morsel,9.99,508,14-02-2018,north,5074.92
gold morsel,9.99,576,14-02-2018,south,5754.24
gold morsel,9.99,536,14-02-2018,east,5354.64
gold morsel,9.99,546,14-02-2018,west,5454.54
magenta morsel,2.5,594,14-02-2018,north,1485
magenta morsel,2.5,542,14-02-2018,south,1355
magenta morsel,2.5,507,14-02-2018,east,1267.5
magenta morsel,2.5,516,14-02-2018,west,1290
chartreuse morsel,3,527,14-02-2018,north,1581
chartreuse morsel,3,566,14-02-2018,south,1698
chartreuse morsel,3,598,14-02-2018,east,1794
chartreuse morsel,3,524,14-02-2018,west,1572
periwinkle morsel,1.25,595,14-02-2018,north,743.75
periwinkle morsel,1.25,600,14-02-2018,south,750
periwinkle morsel,1.25,558,14-02-2018,east,697.5
periwinkle morsel,1.25,527,14-02-2018,west,658.75
vermilion morsel,4.99,525,14-02-2018,north,2619.75
vermilion morsel,4.99,532,14-02-2018,south,2654.68
vermilion morsel,4.99,547,14-02-2018,east,2729.53
vermilion morsel,4.99,512,14-02-2018,west,2554.88
lapis morsel,1.99,531,14-02-2018,north,1056.69
lapis morsel,1.99,545,14-02-2018,south,1084.55
lapis morsel,1.99,596,14-02-2018,east,1186.04
lapis morsel,1.99,517,14-02-2018,west,1028.83
pink morsel,3,582,15-02-2018,north,1746
pink morsel,3,578,15-02-2018,south,1734
pink morsel,3,508,15-02-2018,east,1524
pink morsel,3,538,15-02-2018,west,1614
gold morsel,9.99,535,15-02-2018,north,5344.65
gold morsel,9.99,508,15-02-2018,south,5074.92
gold morsel,9.99,577,15-02-2018,east,5764.23
gold morsel,9.99,511,15-02-2018,west,5104.89
magenta morsel,2.5,523,15-02-2018,north,1307.5
magenta morsel,2.5,530,15-02-2018,south,1325
magenta morsel,2.5,582,15-02-2018,east,1455
magenta morsel,2.5,562,15-02-2018,west,1405
chartreuse morsel,3,535,15-02-2018,north,1605
chartreuse morsel,3,533,15-02-2018,south,1599
chartreuse morsel,3,588,15-02-2018,east,1764
chartreuse morsel,3,508,15-02-2018,west,1524
periwinkle morsel,1.25,511,15-02-2018,north,638.75
periwinkle morsel,1.25,541,15-02-2018,south,676.25
periwinkle morsel,1.25,529,15-02-2018,east,661.25
periwinkle morsel,1.25,570,15-02-2018,west,712.5
vermilion morsel,4.99,518,15-02-2018,north,2584.82
vermilion morsel,4.99,533,15-02-2018,south,2659.67
vermilion morsel,4.99,533,15-02-2018,east,2659.67
vermilion morsel,4.99,553,15-02-2018,west,2759.47
lapis morsel,1.99,526,15-02-2018,north,1046.74
lapis morsel,1.99,555,15-02-2018,south,1104.45
lapis morsel,1.99,552,15-02-2018,east,1098.48
lapis morsel,1.99,553,15-02-2018,west,1100.47
pink morsel,3,526,16-02-2018,north,1578
pink morsel,3,594,16-02-2018,south,1782
pink morsel,3,509,16-02-2018,east,1527
pink morsel,3,584,16-02-2018,west,1752
gold morsel,9.99,506,16-02-2018,north,5054.94
gold morsel,9.99,591,16-02-2018,south,5904.09
gold morsel,9.99,503,16-02-2018,east,5024.97
gold morsel,9.99,519,16-02-2018,west,5184.81
magenta morsel,2.5,548,16-02-2018,north,1370
magenta morsel,2.5,578,16-02-2018,south,1445
magenta morsel,2.5,518,16-02-2018,east,1295
magenta morsel,2.5,564,16-02-2018,west,1410
chartreuse morsel,3,500,16-02-2018,north,1500
chartreuse morsel,3,533,16-02-2018,south,1599
chartreuse morsel,3,501,16-02-2018,east,1503
chartreuse morsel,3,529,16-02-2018,west,1587
periwinkle morsel,1.25,597,16-02-2018,north,746.25
periwinkle morsel,1.25,521,16-02-2018,south,651.25
periwinkle morsel,1.25,557,16-02-2018,east,696.25
periwinkle morsel,1.25,542,16-02-2018,west,677.5
vermilion morsel,4.99,519,16-02-2018,north,2589.81
vermilion morsel,4.99,593,16-02-2018,south,2959.07
vermilion morsel,4.99,571,16-02-2018,east,2849.29
vermilion morsel,4.99,510,16-02-2018,west,2544.9
lapis morsel,1.99,515,16-02-2018,north,1024.85
lapis morsel,1.99,510,16-02-2018,south,1014.9
lapis morsel,1.99,521,16-02-2018,east,1036.79
lapis morsel,1.99,574,16-02-2018,west,1142.26
pink morsel,3,595,17-02-2018,north,1785
pink morsel,3,563,17-02-2018,south,1689
pink morsel,3,547,17-02-2018,east,1641
pink morsel,3,525,17-02-2018,west,1575
gold morsel,9.99,564,17-02-2018,north,5634.36
gold morsel,9.99,573,17-02-2018,south,5724.27
gold morsel,9.99,524,17-02-2018,east,5234.76
gold morsel,9.99,530,17-02-2018,west,5294.7
magenta morsel,2.5,595,17-02-2018,north,1487.5
magenta morsel,2.5,503,17-02-2018,south,1257.5
magenta morsel,2.5,580,17-02-2018,east,1450
magenta morsel,2.5,568,17-02-2018,west,1420
chartreuse morsel,3,528,17-02-2018,north,1584
chartreuse morsel,3,573,17-02-2018,south,1719
chartreuse morsel,3,578,17-02-2018,east,1734
chartreuse morsel,3,550,17-02-2018,west,1650
periwinkle morsel,1.25,555,17-02-2018,north,693.75
periwinkle morsel,1.25,531,17-02-2018,south,663.75
periwinkle morsel,1.25,515,17-02-2018,east,643.75
periwinkle morsel,1.25,545,17-02-2018,west,681.25
vermilion morsel,4.99,520,17-02-2018,north,2594.8
vermilion morsel,4.99,575,17-02-2018,south,2869.25
vermilion morsel,4.99,573,17-02-2018,east,2859.27
vermilion morsel,4.99,520,17-02-2018,west,2594.8
lapis morsel,1.99,515,17-02-2018,north,1024.85
lapis morsel,1.99,599,17-02-2018,south,1192.01
lapis morsel,1.99,569,17-02-2018,east,1132.31
lapis morsel,1.99,589,17-02-2018,west,1172.11
pink morsel,3,548,18-02-2018,north,1644
pink morsel,3,558,18-02-2018,south,1674
pink morsel,3,517,18-02-2018,east,1551
pink morsel,3,579,18-02-2018,west,1737
gold morsel,9.99,521,18-02-2018,north,5204.79
gold morsel,9.99,568,18-02-2018,south,5674.32
gold morsel,9.99,540,18-02-2018,east,5394.6
gold morsel,9.99,583,18-02-2018,west,5824.17
magenta morsel,2.5,575,18-02-2018,north,1437.5
magenta morsel,2.5,506,18-02-2018,south,1265
magenta morsel,2.5,532,18-02-2018,east,1330
magenta morsel,2.5,509,18-02-2018,west,1272.5
chartreuse morsel,3,591,18-02-2018,north,1773
chartreuse morsel,3,512,18-02-2018,south,1536
chartreuse morsel,3,539,18-02-2018,east,1617
chartreuse morsel,3,564,18-02-2018,west,1692
periwinkle morsel,1.25,513,18-02-2018,north,641.25
periwinkle morsel,1.25,529,18-02-2018,south,661.25
periwinkle morsel,1.25,577,18-02-2018,east,721.25
periwinkle morsel,1.25,504,18-02-2018,west,630
vermilion morsel,4.99,569,18-02-2018,north,2839.31
vermilion morsel,4.99,578,18-02-2018,south,2884.22
vermilion morsel,4.99,516,18-02-2018,east,2574.84
vermilion morsel,4.99,528,18-02-2018,west,2634.72
lapis morsel,1.99,575,18-02-2018,north,1144.25
lapis morsel,1.99,536,18-02-2018,south,1066.64
lapis morsel,1.99,504,18-02-2018,east,1002.96
lapis morsel,1.99,573,18-02-2018,west,1140.27
pink morsel,3,521,19-02-2018,north,1563
pink morsel,3,549,19-02-2018,south,1647
pink morsel,3,535,19-02-2018,east,1605
pink morsel,3,513,19-02-2018,west,1539
gold morsel,9.99,562,19-02-2018,north,5614.38
gold morsel,9.99,593,19-02-2018,south,5924.07
gold morsel,9.99,593,19-02-2018,east,5924.07
gold morsel,9.99,597,19-02-2018,west,5964.03
magenta morsel,2.5,511,19-02-2018,north,1277.5
magenta morsel,2.5,509,19-02-2018,south,1272.5
magenta morsel,2.5,590,19-02-2018,east,1475
magenta morsel,2.5,575,19-02-2018,west,1437.5
chartreuse morsel,3,519,19-02-2018,north,1557
chartreuse morsel,3,521,19-02-2018,south,1563
chartreuse morsel,3,532,19-02-2018,east,1596
chartreuse morsel,3,504,19-02-2018,west,1512
periwinkle morsel,1.25,508,19-02-2018,north,635
periwinkle morsel,1.25,528,19-02-2018,south,660
periwinkle morsel,1.25,555,19-02-2018,east,693.75
periwinkle morsel,1.25,582,19-02-2018,west,727.5
vermilion morsel,4.99,596,19-02-2018,north,2974.04
vermilion morsel,4.99,570,19-02-2018,south,2844.3
vermilion morsel,4.99,572,19-02-2018,east,2854.28
vermilion morsel,4.99,594,19-02-2018,west,2964.06
lapis morsel,1.99,551,19-02-2018,north,1096.49
lapis morsel,1.99,503,19-02-2018,south,1000.97
lapis morsel,1.99,568,19-02-2018,east,1130.32
lapis morsel,1.99,561,19-02-2018,west,1116.39
pink morsel,3,566,20-02-2018,north,1698
pink morsel,3,525,20-02-2018,south,1575
pink morsel,3,500,20-02-2018,east,1500
pink morsel,3,517,20-02-2018,west,1551
gold morsel,9.99,581,20-02-2018,north,5804.19
gold morsel,9.99,544,20-02-2018,south,5434.56
gold morsel,9.99,569,20-02-2018,east,5684.31
gold morsel,9.99,595,20-02-2018,west,5944.05
magenta morsel,2.5,521,20-02-2018,north,1302.5
magenta morsel,2.5,583,20-02-2018,south,1457.5
magenta morsel,2.5,578,20-02-2018,east,1445
magenta morsel,2.5,573,20-02-2018,west,1432.5
chartreuse morsel,3,557,20-02-2018,north,1671
chartreuse morsel,3,582,20-02-2018,south,1746
chartreuse morsel,3,552,20-02-2018,east,1656
chartreuse morsel,3,524,20-02-2018,west,1572
periwinkle morsel,1.25,593,20-02-2018,north,741.25
periwinkle morsel,1.25,530,20-02-2018,south,662.5
periwinkle morsel,1.25,521,20-02-2018,east,651.25
periwinkle morsel,1.25,597,20-02-2018,west,746.25
vermilion morsel,4.99,581,20-02-2018,north,2899.19
vermilion morsel,4.99,521,20-02-2018,south,2599.79
vermilion morsel,4.99,583,20-02-2018,east,2909.17
vermilion morsel,4.99,517,20-02-2018,west,2579.83
lapis morsel,1.99,522,20-02-2018,north,1038.78
lapis morsel,1.99,533,20-02-2018,south,1060.67
lapis morsel,1.99,587,20-02-2018,east,1168.13
lapis morsel,1.99,518,20-02-2018,west,1030.82
pink morsel,3,579,21-02-2018,north,1737
pink morsel,3,514,21-02-2018,south,1542
pink morsel,3,555,21-02-2018,east,1665
pink morsel,3,516,21-02-2018,west,1548
gold morsel,9.99,575,21-02-2018,north,5744.25
gold morsel,9.99,500,21-02-2018,south,4995
gold morsel,9.99,558,21-02-2018,east,5574.42
gold morsel,9.99,508,21-02-2018,west,5074.92
magenta morsel,2.5,587,21-02-2018,north,1467.5
magenta morsel,2.5,569,21-02-2018,south,1422.5
magenta morsel,2.5,507,21-02-2018,east,1267.5
magenta morsel,2.5,517,21-02-2018,west,1292.5
chartreuse morsel,3,546,21-02-2018,north,1638
chartreuse morsel,3,563,21-02-2018,south,1689
chartreuse morsel,3,512,21-02-2018,east,1536
chartreuse morsel,3,556,21-02-2018,west,1668
periwinkle morsel,1.25,507,21-02-2018,north,633.75
periwinkle morsel,1.25,584,21-02-2018,south,730
periwinkle morsel,1.25,558,21-02-2018,east,697.5
periwinkle morsel,1.25,594,21-02-2018,west,742.5
vermilion morsel,4.99,557,21-02-2018,north,2779.43
vermilion morsel,4.99,522,21-02-2018,south,2604.78
vermilion morsel,4.99,568,21-02-2018,east,2834.32
vermilion morsel,4.99,588,21-02-2018,west,2934.12
lapis morsel,1.99,596,21-02-2018,north,1186.04
lapis morsel,1.99,572,21-02-2018,south,1138.28
lapis morsel,1.99,524,21-02-2018,east,1042.76
lapis morsel,1.99,537,21-02-2018,west,1068.63
pink morsel,3,545,22-02-2018,north,1635
pink morsel,3,544,22-02-2018,south,1632
pink morsel,3,556,22-02-2018,east,1668
pink morsel,3,588,22-02-2018,west,1764
gold morsel,9.99,529,22-02-2018,north,5284.71
gold morsel,9.99,531,22-02-2018,south,5304.69
gold morsel,9.99,516,22-02-2018,east,5154.84
gold morsel,9.99,542,22-02-2018,west,5414.58
magenta morsel,2.5,577,22-02-2018,north,1442.5
magenta morsel,2.5,525,22-02-2018,south,1312.5
magenta morsel,2.5,520,22-02-2018,east,1300
magenta morsel,2.5,530,22-02-2018,west,1325
chartreuse morsel,3,554,22-02-2018,north,1662
chartreuse morsel,3,528,22-02-2018,south,1584
chartreuse morsel,3,533,22-02-2018,east,1599
chartreuse morsel,3,521,22-02-2018,west,1563
periwinkle morsel,1.25,576,22-02-2018,north,720
periwinkle morsel,1.25,586,22-02-2018,south,732.5
periwinkle morsel,1.25,521,22-02-2018,east,651.25
periwinkle morsel,1.25,507,22-02-2018,west,633.75
vermilion morsel,4.99,524,22-02-2018,north,2614.76
vermilion morsel,4.99,522,22-02-2018,south,2604.78
vermilion morsel,4.99,543,22-02-2018,east,2709.57
vermilion morsel,4.99,573,22-02-2018,west,2859.27
lapis morsel,1.99,505,22-02-2018,north,1004.95
lapis morsel,1.99,508,22-02-2018,south,1010.92
lapis morsel,1.99,579,22-02-2018,east,1152.21
lapis morsel,1.99,600,22-02-2018,west,1194
pink morsel,3,511,23-02-2018,north,1533
pink morsel,3,521,23-02-2018,south,1563
pink morsel,3,547,23-02-2018,east,1641
pink morsel,3,591,23-02-2018,west,1773
gold morsel,9.99,519,23-02-2018,north,5184.81
gold morsel,9.99,536,23-02-2018,south,5354.64
gold morsel,9.99,551,23-02-2018,east,5504.49
gold morsel,9.99,541,23-02-2018,west,5404.59
magenta morsel,2.5,502,23-02-2018,north,1255
magenta morsel,2.5,578,23-02-2018,south,1445
magenta morsel,2.5,516,23-02-2018,east,1290
magenta morsel,2.5,582,23-02-2018,west,1455
chartreuse morsel,3,546,23-02-2018,north,1638
chartreuse morsel,3,527,23-02-2018,south,1581
chartreuse morsel,3,578,23-02-2018,east,1734
chartreuse morsel,3,550,23-02-2018,west,1650
periwinkle morsel,1.25,562,23-02-2018,north,702.5
periwinkle morsel,1.25,519,23-02-2018,south,648.75
periwinkle morsel,1.25,506,23-02-2018,east,632.5
periwinkle morsel,1.25,592,23-02-2018,west,740
vermilion morsel,4.99,521,23-02-2018,north,2599.79
vermilion morsel,4.99,578,23-02-2018,south,2884.22
vermilion morsel,4.99,599,23-02-2018,east,2989.01
vermilion morsel,4.99,521,23-02-2018,west,2599.79
lapis morsel,1.99,501,23-02-2018,north,996.99
lapis morsel,1.99,523,23-02-2018,south,1040.77
lapis morsel,1.99,551,23-02-2018,east,1096.49
lapis morsel,1.99,600,23-02-2018,west,1194
pink morsel,3,543,24-02-2018,north,1629
pink morsel,3,566,24-02-2018,south,1698
pink morsel,3,575,24-02-2018,east,1725
pink morsel,3,574,24-02-2018,west,1722
gold morsel,9.99,532,24-02-2018,north,5314.68
gold morsel,9.99,538,24-02-2018,south,5374.62
gold morsel,9.99,565,24-02-2018,east,5644.35
gold morsel,9.99,507,24-02-2018,west,5064.93
magenta morsel,2.5,518,24-02-2018,north,1295
magenta morsel,2.5,589,24-02-2018,south,1472.5
magenta morsel,2.5,547,24-02-2018,east,1367.5
magenta morsel,2.5,511,24-02-2018,west,1277.5
chartreuse morsel,3,583,24-02-2018,north,1749
chartreuse morsel,3,528,24-02-2018,south,1584
chartreuse morsel,3,520,24-02-2018,east,1560
chartreuse morsel,3,552,24-02-2018,west,1656
periwinkle morsel,1.25,548,24-02-2018,north,685
periwinkle morsel,1.25,500,24-02-2018,south,625
periwinkle morsel,1.25,570,24-02-2018,east,712.5
periwinkle morsel,1.25,599,24-02-2018,west,748.75
vermilion morsel,4.99,528,24-02-2018,north,2634.72
vermilion morsel,4.99,592,24-02-2018,south,2954.08
vermilion morsel,4.99,538,24-02-2018,east,2684.62
vermilion morsel,4.99,565,24-02-2018,west,2819.35
lapis morsel,1.99,598,24-02-2018,north,1190.02
lapis morsel,1.99,501,24-02-2018,south,996.99
lapis morsel,1.99,556,24-02-2018,east,1106.44
lapis morsel,1.99,550,24-02-2018,west,1094.5
pink morsel,3,532,25-02-2018,north,1596
pink morsel,3,570,25-02-2018,south,1710
pink morsel,3,545,25-02-2018,east,1635
pink morsel,3,553,25-02-2018,west,1659
gold morsel,9.99,583,25-02-2018,north,5824.17
gold morsel,9.99,600,25-02-2018,south,5994
gold morsel,9.99,586,25-02-2018,east,5854.14
gold morsel,9.99,574,25-02-2018,west,5734.26
