,product,price,quantity,date,region,sales
504,pink morsel,3,527,31-10-2020,north,1581.0
505,pink morsel,3,586,31-10-2020,south,1758.0
506,pink morsel,3,585,31-10-2020,east,1755.0
507,pink morsel,3,556,31-10-2020,west,1668.0
532,pink morsel,3,555,01-11-2020,north,1665.0
533,pink morsel,3,517,01-11-2020,south,1551.0
534,pink morsel,3,590,01-11-2020,east,1770.0
535,pink morsel,3,531,01-11-2020,west,1593.0
560,pink morsel,3,578,02-11-2020,north,1734.0
561,pink morsel,3,500,02-11-2020,south,1500.0
562,pink morsel,3,580,02-11-2020,east,1740.0
563,pink morsel,3,562,02-11-2020,west,1686.0
588,pink morsel,3,517,03-11-2020,north,1551.0
589,pink morsel,3,584,03-11-2020,south,1752.0
590,pink morsel,3,582,03-11-2020,east,1746.0
591,pink morsel,3,527,03-11-2020,west,1581.0
616,pink morsel,3,591,04-11-2020,north,1773.0
617,pink morsel,3,596,04-11-2020,south,1788.0
618,pink morsel,3,515,04-11-2020,east,1545.0
619,pink morsel,3,502,04-11-2020,west,1506.0
644,pink morsel,3,548,05-11-2020,north,1644.0
645,pink morsel,3,535,05-11-2020,south,1605.0
646,pink morsel,3,562,05-11-2020,east,1686.0
647,pink morsel,3,513,05-11-2020,west,1539.0
672,pink morsel,3,575,06-11-2020,north,1725.0
673,pink morsel,3,533,06-11-2020,south,1599.0
674,pink morsel,3,553,06-11-2020,east,1659.0
675,pink morsel,3,525,06-11-2020,west,1575.0
700,pink morsel,3,551,07-11-2020,north,1653.0
701,pink morsel,3,547,07-11-2020,south,1641.0
702,pink morsel,3,529,07-11-2020,east,1587.0
703,pink morsel,3,586,07-11-2020,west,1758.0
728,pink morsel,3,595,08-11-2020,north,1785.0
729,pink morsel,3,565,08-11-2020,south,1695.0
730,pink morsel,3,527,08-11-2020,east,1581.0
731,pink morsel,3,578,08-11-2020,west,1734.0
756,pink morsel,3,596,09-11-2020,north,1788.0
757,pink morsel,3,531,09-11-2020,south,1593.0
758,pink morsel,3,531,09-11-2020,east,1593.0
759,pink morsel,3,504,09-11-2020,west,1512.0
784,pink morsel,3,546,10-11-2020,north,1638.0
785,pink morsel,3,578,10-11-2020,south,1734.0
786,pink morsel,3,565,10-11-2020,east,1695.0
787,pink morsel,3,546,10-11-2020,west,1638.0
812,pink morsel,3,565,11-11-2020,north,1695.0
813,pink morsel,3,511,11-11-2020,south,1533.0
814,pink morsel,3,577,11-11-2020,east,1731.0
815,pink morsel,3,563,11-11-2020,west,1689.0
840,pink morsel,3,571,12-11-2020,north,1713.0
841,pink morsel,3,532,12-11-2020,south,1596.0
842,pink morsel,3,562,12-11-2020,east,1686.0
843,pink morsel,3,505,12-11-2020,west,1515.0
868,pink morsel,3,527,13-11-2020,north,1581.0
869,pink morsel,3,507,13-11-2020,south,1521.0
870,pink morsel,3,559,13-11-2020,east,1677.0
871,pink morsel,3,545,13-11-2020,west,1635.0
896,pink morsel,3,583,14-11-2020,north,1749.0
897,pink morsel,3,514,14-11-2020,south,1542.0
898,pink morsel,3,534,14-11-2020,east,1602.0
899,pink morsel,3,519,14-11-2020,west,1557.0
924,pink morsel,3,562,15-11-2020,north,1686.0
925,pink morsel,3,546,15-11-2020,south,1638.0
926,pink morsel,3,598,15-11-2020,east,1794.0
927,pink morsel,3,553,15-11-2020,west,1659.0
952,pink morsel,3,591,16-11-2020,north,1773.0
953,pink morsel,3,557,16-11-2020,south,1671.0
954,pink morsel,3,542,16-11-2020,east,1626.0
955,pink morsel,3,575,16-11-2020,west,1725.0
980,pink morsel,3,562,17-11-2020,north,1686.0
981,pink morsel,3,507,17-11-2020,south,1521.0
982,pink morsel,3,578,17-11-2020,east,1734.0
983,pink morsel,3,510,17-11-2020,west,1530.0
1008,pink morsel,3,566,18-11-2020,north,1698.0
1009,pink morsel,3,590,18-11-2020,south,1770.0
1010,pink morsel,3,584,18-11-2020,east,1752.0
1011,pink morsel,3,554,18-11-2020,west,1662.0
1036,pink morsel,3,522,19-11-2020,north,1566.0
1037,pink morsel,3,530,19-11-2020,south,1590.0
1038,pink morsel,3,545,19-11-2020,east,1635.0
1039,pink morsel,3,566,19-11-2020,west,1698.0
1064,pink morsel,3,561,20-11-2020,north,1683.0
1065,pink morsel,3,551,20-11-2020,south,1653.0
1066,pink morsel,3,509,20-11-2020,east,1527.0
1067,pink morsel,3,508,20-11-2020,west,1524.0
1092,pink morsel,3,531,21-11-2020,north,1593.0
1093,pink morsel,3,552,21-11-2020,south,1656.0
1094,pink morsel,3,541,21-11-2020,east,1623.0
1095,pink morsel,3,546,21-11-2020,west,1638.0
1120,pink morsel,3,532,22-11-2020,north,1596.0
1121,pink morsel,3,525,22-11-2020,south,1575.0
1122,pink morsel,3,552,22-11-2020,east,1656.0
1123,pink morsel,3,575,22-11-2020,west,1725.0
1148,pink morsel,3,589,23-11-2020,north,1767.0
1149,pink morsel,3,550,23-11-2020,south,1650.0
1150,pink morsel,3,547,23-11-2020,east,1641.0
1151,pink morsel,3,544,23-11-2020,west,1632.0
1176,pink morsel,3,534,24-11-2020,north,1602.0
1177,pink morsel,3,544,24-11-2020,south,1632.0
1178,pink morsel,3,581,24-11-2020,east,1743.0
1179,pink morsel,3,539,24-11-2020,west,1617.0
1204,pink morsel,3,575,25-11-2020,north,1725.0
1205,pink morsel,3,587,25-11-2020,south,1761.0
1206,pink morsel,3,597,25-11-2020,east,1791.0
1207,pink morsel,3,540,25-11-2020,west,1620.0
1232,pink morsel,3,590,26-11-2020,north,1770.0
1233,pink morsel,3,597,26-11-2020,south,1791.0
1234,pink morsel,3,555,26-11-2020,east,1665.0
1235,pink morsel,3,581,26-11-2020,west,1743.0
1260,pink morsel,3,544,27-11-2020,north,1632.0
1261,pink morsel,3,529,27-11-2020,south,1587.0
1262,pink morsel,3,560,27-11-2020,east,1680.0
1263,pink morsel,3,552,27-11-2020,west,1656.0
1288,pink morsel,3,582,28-11-2020,north,1746.0
1289,pink morsel,3,533,28-11-2020,south,1599.0
1290,pink morsel,3,573,28-11-2020,east,1719.0
1291,pink morsel,3,598,28-11-2020,west,1794.0
1316,pink morsel,3,586,29-11-2020,north,1758.0
1317,pink morsel,3,519,29-11-2020,south,1557.0
1318,pink morsel,3,549,29-11-2020,east,1647.0
1319,pink morsel,3,580,29-11-2020,west,1740.0
1344,pink morsel,3,545,30-11-2020,north,1635.0
1345,pink morsel,3,528,30-11-2020,south,1584.0
1346,pink morsel,3,538,30-11-2020,east,1614.0
1347,pink morsel,3,583,30-11-2020,west,1749.0
1372,pink morsel,3,529,01-12-2020,north,1587.0
1373,pink morsel,3,573,01-12-2020,south,1719.0
1374,pink morsel,3,540,01-12-2020,east,1620.0
1375,pink morsel,3,552,01-12-2020,west,1656.0
1400,pink morsel,3,518,02-12-2020,north,1554.0
1401,pink morsel,3,585,02-12-2020,south,1755.0
1402,pink morsel,3,579,02-12-2020,east,1737.0
1403,pink morsel,3,516,02-12-2020,west,1548.0
1428,pink morsel,3,524,03-12-2020,north,1572.0
1429,pink morsel,3,520,03-12-2020,south,1560.0
1430,pink morsel,3,582,03-12-2020,east,1746.0
1431,pink morsel,3,596,03-12-2020,west,1788.0
1456,pink morsel,3,546,04-12-2020,north,1638.0
1457,pink morsel,3,542,04-12-2020,south,1626.0
1458,pink morsel,3,506,04-12-2020,east,1518.0
1459,pink morsel,3,591,04-12-2020,west,1773.0
1484,pink morsel,3,569,05-12-2020,north,1707.0
1485,pink morsel,3,538,05-12-2020,south,1614.0
1486,pink morsel,3,574,05-12-2020,east,1722.0
1487,pink morsel,3,508,05-12-2020,west,1524.0
1512,pink morsel,3,520,06-12-2020,north,1560.0
1513,pink morsel,3,539,06-12-2020,south,1617.0
1514,pink morsel,3,522,06-12-2020,east,1566.0
1515,pink morsel,3,505,06-12-2020,west,1515.0
1540,pink morsel,3,503,07-12-2020,north,1509.0
1541,pink morsel,3,515,07-12-2020,south,1545.0
1542,pink morsel,3,532,07-12-2020,east,1596.0
1543,pink morsel,3,557,07-12-2020,west,1671.0
1568,pink morsel,3,562,08-12-2020,north,1686.0
1569,pink morsel,3,595,08-12-2020,south,1785.0
1570,pink morsel,3,600,08-12-2020,east,1800.0
1571,pink morsel,3,530,08-12-2020,west,1590.0
1596,pink morsel,3,596,09-12-2020,north,1788.0
1597,pink morsel,3,596,09-12-2020,south,1788.0
1598,pink morsel,3,528,09-12-2020,east,1584.0
1599,pink morsel,3,555,09-12-2020,west,1665.0
1624,pink morsel,3,540,10-12-2020,north,1620.0
1625,pink morsel,3,575,10-12-2020,south,1725.0
1626,pink morsel,3,523,10-12-2020,east,1569.0
1627,pink morsel,3,511,10-12-2020,west,1533.0
1652,pink morsel,3,501,11-12-2020,north,1503.0
1653,pink morsel,3,571,11-12-2020,south,1713.0
1654,pink morsel,3,550,11-12-2020,east,1650.0
1655,pink morsel,3,592,11-12-2020,west,1776.0
1680,pink morsel,3,543,12-12-2020,north,1629.0
1681,pink morsel,3,554,12-12-2020,south,1662.0
1682,pink morsel,3,541,12-12-2020,east,1623.0
1683,pink morsel,3,530,12-12-2020,west,1590.0
1708,pink morsel,3,550,13-12-2020,north,1650.0
1709,pink morsel,3,549,13-12-2020,south,1647.0
1710,pink morsel,3,561,13-12-2020,east,1683.0
1711,pink morsel,3,510,13-12-2020,west,1530.0
1736,pink morsel,3,582,14-12-2020,north,1746.0
1737,pink morsel,3,517,14-12-2020,south,1551.0
1738,pink morsel,3,516,14-12-2020,east,1548.0
1739,pink morsel,3,589,14-12-2020,west,1767.0
1764,pink morsel,3,595,15-12-2020,north,1785.0
1765,pink morsel,3,578,15-12-2020,south,1734.0
1766,pink morsel,3,526,15-12-2020,east,1578.0
1767,pink morsel,3,532,15-12-2020,west,1596.0
1792,pink morsel,3,593,16-12-2020,north,1779.0
1793,pink morsel,3,590,16-12-2020,south,1770.0
1794,pink morsel,3,527,16-12-2020,east,1581.0
1795,pink morsel,3,538,16-12-2020,west,1614.0
1820,pink morsel,3,502,17-12-2020,north,1506.0
1821,pink morsel,3,511,17-12-2020,south,1533.0
1822,pink morsel,3,559,17-12-2020,east,1677.0
1823,pink morsel,3,579,17-12-2020,west,1737.0
1848,pink morsel,3,545,18-12-2020,north,1635.0
1849,pink morsel,3,600,18-12-2020,south,1800.0
1850,pink morsel,3,598,18-12-2020,east,1794.0
1851,pink morsel,3,551,18-12-2020,west,1653.0
1876,pink morsel,3,573,19-12-2020,north,1719.0
1877,pink morsel,3,558,19-12-2020,south,1674.0
1878,pink morsel,3,525,19-12-2020,east,1575.0
1879,pink morsel,3,550,19-12-2020,west,1650.0
1904,pink morsel,3,569,20-12-2020,north,1707.0
1905,pink morsel,3,564,20-12-2020,south,1692.0
1906,pink morsel,3,538,20-12-2020,east,1614.0
1907,pink morsel,3,521,20-12-2020,west,1563.0
1932,pink morsel,3,525,21-12-2020,north,1575.0
1933,pink morsel,3,502,21-12-2020,south,1506.0
1934,pink morsel,3,533,21-12-2020,east,1599.0
1935,pink morsel,3,562,21-12-2020,west,1686.0
1960,pink morsel,3,506,22-12-2020,north,1518.0
1961,pink morsel,3,559,22-12-2020,south,1677.0
1962,pink morsel,3,574,22-12-2020,east,1722.0
1963,pink morsel,3,522,22-12-2020,west,1566.0
1988,pink morsel,3,559,23-12-2020,north,1677.0
1989,pink morsel,3,514,23-12-2020,south,1542.0
1990,pink morsel,3,595,23-12-2020,east,1785.0
1991,pink morsel,3,557,23-12-2020,west,1671.0
2016,pink morsel,3,575,24-12-2020,north,1725.0
2017,pink morsel,3,502,24-12-2020,south,1506.0
2018,pink morsel,3,521,24-12-2020,east,1563.0
2019,pink morsel,3,556,24-12-2020,west,1668.0
2044,pink morsel,3,594,25-12-2020,north,1782.0
2045,pink morsel,3,519,25-12-2020,south,1557.0
2046,pink morsel,3,599,25-12-2020,east,1797.0
2047,pink morsel,3,521,25-12-2020,west,1563.0
2072,pink morsel,3,518,26-12-2020,north,1554.0
2073,pink morsel,3,550,26-12-2020,south,1650.0
2074,pink morsel,3,566,26-12-2020,east,1698.0
2075,pink morsel,3,579,26-12-2020,west,1737.0
2100,pink morsel,3,590,27-12-2020,north,1770.0
2101,pink morsel,3,578,27-12-2020,south,1734.0
2102,pink morsel,3,590,27-12-2020,east,1770.0
2103,pink morsel,3,508,27-12-2020,west,1524.0
2128,pink morsel,3,575,28-12-2020,north,1725.0
2129,pink morsel,3,512,28-12-2020,south,1536.0
2130,pink morsel,3,586,28-12-2020,east,1758.0
2131,pink morsel,3,561,28-12-2020,west,1683.0
2156,pink morsel,3,506,29-12-2020,north,1518.0
2157,pink morsel,3,559,29-12-2020,south,1677.0
2158,pink morsel,3,538,29-12-2020,east,1614.0
2159,pink morsel,3,589,29-12-2020,west,1767.0
2184,pink morsel,3,508,30-12-2020,north,1524.0
2185,pink morsel,3,510,30-12-2020,south,1530.0
2186,pink morsel,3,528,30-12-2020,east,1584.0
2187,pink morsel,3,597,30-12-2020,west,1791.0
2212,pink morsel,3,580,31-12-2020,north,1740.0
2213,pink morsel,3,566,31-12-2020,south,1698.0
2214,pink morsel,3,590,31-12-2020,east,1770.0
2215,pink morsel,3,550,31-12-2020,west,1650.0
2240,pink morsel,3,512,01-01-2021,north,1536.0
2241,pink morsel,3,514,01-01-2021,south,1542.0
2242,pink morsel,3,557,01-01-2021,east,1671.0
2243,pink morsel,3,584,01-01-2021,west,1752.0
2268,pink morsel,3,598,02-01-2021,north,1794.0
2269,pink morsel,3,540,02-01-2021,south,1620.0
2270,pink morsel,3,528,02-01-2021,east,1584.0
2271,pink morsel,3,501,02-01-2021,west,1503.0
2296,pink morsel,3,586,03-01-2021,north,1758.0
2297,pink morsel,3,526,03-01-2021,south,1578.0
2298,pink morsel,3,559,03-01-2021,east,1677.0
2299,pink morsel,3,574,03-01-2021,west,1722.0
2324,pink morsel,3,530,04-01-2021,north,1590.0
2325,pink morsel,3,595,04-01-2021,south,1785.0
2326,pink morsel,3,577,04-01-2021,east,1731.0
2327,pink morsel,3,562,04-01-2021,west,1686.0
2352,pink morsel,3,512,05-01-2021,north,1536.0
2353,pink morsel,3,526,05-01-2021,south,1578.0
2354,pink morsel,3,561,05-01-2021,east,1683.0
2355,pink morsel,3,536,05-01-2021,west,1608.0
2380,pink morsel,3,581,06-01-2021,north,1743.0
2381,pink morsel,3,581,06-01-2021,south,1743.0
2382,pink morsel,3,546,06-01-2021,east,1638.0
2383,pink morsel,3,596,06-01-2021,west,1788.0
2408,pink morsel,3,572,07-01-2021,north,1716.0
2409,pink morsel,3,534,07-01-2021,south,1602.0
2410,pink morsel,3,532,07-01-2021,east,1596.0
2411,pink morsel,3,599,07-01-2021,west,1797.0
2436,pink morsel,3,554,08-01-2021,north,1662.0
2437,pink morsel,3,556,08-01-2021,south,1668.0
2438,pink morsel,3,554,08-01-2021,east,1662.0
2439,pink morsel,3,507,08-01-2021,west,1521.0
2464,pink morsel,3,521,09-01-2021,north,1563.0
2465,pink morsel,3,549,09-01-2021,south,1647.0
2466,pink morsel,3,581,09-01-2021,east,1743.0
2467,pink morsel,3,551,09-01-2021,west,1653.0
2492,pink morsel,3,577,10-01-2021,north,1731.0
2493,pink morsel,3,536,10-01-2021,south,1608.0
2494,pink morsel,3,504,10-01-2021,east,1512.0
2495,pink morsel,3,515,10-01-2021,west,1545.0
2520,pink morsel,3,580,11-01-2021,north,1740.0
2521,pink morsel,3,537,11-01-2021,south,1611.0
2522,pink morsel,3,512,11-01-2021,east,1536.0
2523,pink morsel,3,542,11-01-2021,west,1626.0
2548,pink morsel,3,538,12-01-2021,north,1614.0
2549,pink morsel,3,524,12-01-2021,south,1572.0
2550,pink morsel,3,513,12-01-2021,east,1539.0
2551,pink morsel,3,535,12-01-2021,west,1605.0
2576,pink morsel,3,515,13-01-2021,north,1545.0
2577,pink morsel,3,514,13-01-2021,south,1542.0
2578,pink morsel,3,593,13-01-2021,east,1779.0
2579,pink morsel,3,560,13-01-2021,west,1680.0
2604,pink morsel,3,567,14-01-2021,north,1701.0
2605,pink morsel,3,559,14-01-2021,south,1677.0
2606,pink morsel,3,538,14-01-2021,east,1614.0
2607,pink morsel,3,530,14-01-2021,west,1590.0
2632,pink morsel,5,405,15-01-2021,north,2025.0
2633,pink morsel,5,439,15-01-2021,south,2195.0
2634,pink morsel,5,436,15-01-2021,east,2180.0
2635,pink morsel,5,479,15-01-2021,west,2395.0
2660,pink morsel,5,422,16-01-2021,north,2110.0
2661,pink morsel,5,429,16-01-2021,south,2145.0
2662,pink morsel,5,468,16-01-2021,east,2340.0
2663,pink morsel,5,478,16-01-2021,west,2390.0
2688,pink morsel,5,495,17-01-2021,north,2475.0
2689,pink morsel,5,464,17-01-2021,south,2320.0
2690,pink morsel,5,421,17-01-2021,east,2105.0
2691,pink morsel,5,418,17-01-2021,west,2090.0
2716,pink morsel,5,410,18-01-2021,north,2050.0
2717,pink morsel,5,482,18-01-2021,south,2410.0
2718,pink morsel,5,425,18-01-2021,east,2125.0
2719,pink morsel,5,465,18-01-2021,west,2325.0
2744,pink morsel,5,467,19-01-2021,north,2335.0
2745,pink morsel,5,421,19-01-2021,south,2105.0
2746,pink morsel,5,468,19-01-2021,east,2340.0
2747,pink morsel,5,484,19-01-2021,west,2420.0
2772,pink morsel,5,483,20-01-2021,north,2415.0
2773,pink morsel,5,499,20-01-2021,south,2495.0
2774,pink morsel,5,414,20-01-2021,east,2070.0
2775,pink morsel,5,481,20-01-2021,west,2405.0
2800,pink morsel,5,418,21-01-2021,north,2090.0
2801,pink morsel,5,429,21-01-2021,south,2145.0
2802,pink morsel,5,449,21-01-2021,east,2245.0
2803,pink morsel,5,466,21-01-2021,west,2330.0
2828,pink morsel,5,492,22-01-2021,north,2460.0
2829,pink morsel,5,446,22-01-2021,south,2230.0
2830,pink morsel,5,402,22-01-2021,east,2010.0
2831,pink morsel,5,476,22-01-2021,west,2380.0
2856,pink morsel,5,405,23-01-2021,north,2025.0
2857,pink morsel,5,417,23-01-2021,south,2085.0
2858,pink morsel,5,484,23-01-2021,east,2420.0
2859,pink morsel,5,435,23-01-2021,west,2175.0
2884,pink morsel,5,403,24-01-2021,north,2015.0
2885,pink morsel,5,489,24-01-2021,south,2445.0
2886,pink morsel,5,451,24-01-2021,east,2255.0
2887,pink morsel,5,417,24-01-2021,west,2085.0
2912,pink morsel,5,442,25-01-2021,north,2210.0
2913,pink morsel,5,429,25-01-2021,south,2145.0
2914,pink morsel,5,440,25-01-2021,east,2200.0
2915,pink morsel,5,432,25-01-2021,west,2160.0
2940,pink morsel,5,410,26-01-2021,north,2050.0
2941,pink morsel,5,456,26-01-2021,south,2280.0
2942,pink morsel,5,433,26-01-2021,east,2165.0
2943,pink morsel,5,469,26-01-2021,west,2345.0
2968,pink morsel,5,400,27-01-2021,north,2000.0
2969,pink morsel,5,402,27-01-2021,south,2010.0
2970,pink morsel,5,412,27-01-2021,east,2060.0
2971,pink morsel,5,404,27-01-2021,west,2020.0
2996,pink morsel,5,428,28-01-2021,north,2140.0
2997,pink morsel,5,462,28-01-2021,south,2310.0
2998,pink morsel,5,457,28-01-2021,east,2285.0
2999,pink morsel,5,401,28-01-2021,west,2005.0
3024,pink morsel,5,459,29-01-2021,north,2295.0
3025,pink morsel,5,439,29-01-2021,south,2195.0
3026,pink morsel,5,493,29-01-2021,east,2465.0
3027,pink morsel,5,419,29-01-2021,west,2095.0
3052,pink morsel,5,480,30-01-2021,north,2400.0
3053,pink morsel,5,458,30-01-2021,south,2290.0
3054,pink morsel,5,474,30-01-2021,east,2370.0
3055,pink morsel,5,433,30-01-2021,west,2165.0
3080,pink morsel,5,486,31-01-2021,north,2430.0
3081,pink morsel,5,452,31-01-2021,south,2260.0
3082,pink morsel,5,443,31-01-2021,east,2215.0
3083,pink morsel,5,429,31-01-2021,west,2145.0
3108,pink morsel,5,470,01-02-2021,north,2350.0
3109,pink morsel,5,436,01-02-2021,south,2180.0
3110,pink morsel,5,458,01-02-2021,east,2290.0
3111,pink morsel,5,423,01-02-2021,west,2115.0
3136,pink morsel,5,463,02-02-2021,north,2315.0
3137,pink morsel,5,420,02-02-2021,south,2100.0
3138,pink morsel,5,486,02-02-2021,east,2430.0
3139,pink morsel,5,443,02-02-2021,west,2215.0
3164,pink morsel,5,400,03-02-2021,north,2000.0
3165,pink morsel,5,471,03-02-2021,south,2355.0
3166,pink morsel,5,422,03-02-2021,east,2110.0
3167,pink morsel,5,448,03-02-2021,west,2240.0
3192,pink morsel,5,476,04-02-2021,north,2380.0
3193,pink morsel,5,461,04-02-2021,south,2305.0
3194,pink morsel,5,460,04-02-2021,east,2300.0
3195,pink morsel,5,424,04-02-2021,west,2120.0
3220,pink morsel,5,437,05-02-2021,north,2185.0
3221,pink morsel,5,459,05-02-2021,south,2295.0
3222,pink morsel,5,443,05-02-2021,east,2215.0
3223,pink morsel,5,410,05-02-2021,west,2050.0
3248,pink morsel,5,445,06-02-2021,north,2225.0
3249,pink morsel,5,481,06-02-2021,south,2405.0
3250,pink morsel,5,419,06-02-2021,east,2095.0
3251,pink morsel,5,440,06-02-2021,west,2200.0
3276,pink morsel,5,414,07-02-2021,north,2070.0
3277,pink morsel,5,413,07-02-2021,south,2065.0
3278,pink morsel,5,416,07-02-2021,east,2080.0
3279,pink morsel,5,402,07-02-2021,west,2010.0
3304,pink morsel,5,479,08-02-2021,north,2395.0
3305,pink morsel,5,469,08-02-2021,south,2345.0
3306,pink morsel,5,417,08-02-2021,east,2085.0
3307,pink morsel,5,450,08-02-2021,west,2250.0
3332,pink morsel,5,409,09-02-2021,north,2045.0
3333,pink morsel,5,469,09-02-2021,south,2345.0
3334,pink morsel,5,491,09-02-2021,east,2455.0
3335,pink morsel,5,452,09-02-2021,west,2260.0
3360,pink morsel,5,426,10-02-2021,north,2130.0
3361,pink morsel,5,407,10-02-2021,south,2035.0
3362,pink morsel,5,409,10-02-2021,east,2045.0
3363,pink morsel,5,429,10-02-2021,west,2145.0
3388,pink morsel,5,464,11-02-2021,north,2320.0
3389,pink morsel,5,470,11-02-2021,south,2350.0
3390,pink morsel,5,417,11-02-2021,east,2085.0
3391,pink morsel,5,432,11-02-2021,west,2160.0
3416,pink morsel,5,475,12-02-2021,north,2375.0
3417,pink morsel,5,446,12-02-2021,south,2230.0
3418,pink morsel,5,446,12-02-2021,east,2230.0
3419,pink morsel,5,426,12-02-2021,west,2130.0
3444,pink morsel,5,485,13-02-2021,north,2425.0
3445,pink morsel,5,493,13-02-2021,south,2465.0
3446,pink morsel,5,421,13-02-2021,east,2105.0
3447,pink morsel,5,497,13-02-2021,west,2485.0
3472,pink morsel,5,468,14-02-2021,north,2340.0
3473,pink morsel,5,448,14-02-2021,south,2240.0
3474,pink morsel,5,457,14-02-2021,east,2285.0
3475,pink morsel,5,475,14-02-2021,west,2375.0
3500,pink morsel,5,422,15-02-2021,north,2110.0
3501,pink morsel,5,465,15-02-2021,south,2325.0
3502,pink morsel,5,453,15-02-2021,east,2265.0
3503,pink morsel,5,435,15-02-2021,west,2175.0
3528,pink morsel,5,459,16-02-2021,north,2295.0
3529,pink morsel,5,450,16-02-2021,south,2250.0
3530,pink morsel,5,436,16-02-2021,east,2180.0
3531,pink morsel,5,493,16-02-2021,west,2465.0
3556,pink morsel,5,476,17-02-2021,north,2380.0
3557,pink morsel,5,426,17-02-2021,south,2130.0
3558,pink morsel,5,470,17-02-2021,east,2350.0
3559,pink morsel,5,494,17-02-2021,west,2470.0
3584,pink morsel,5,401,18-02-2021,north,2005.0
3585,pink morsel,5,425,18-02-2021,south,2125.0
3586,pink morsel,5,496,18-02-2021,east,2480.0
3587,pink morsel,5,448,18-02-2021,west,2240.0
3612,pink morsel,5,425,19-02-2021,north,2125.0
3613,pink morsel,5,485,19-02-2021,south,2425.0
3614,pink morsel,5,410,19-02-2021,east,2050.0
3615,pink morsel,5,409,19-02-2021,west,2045.0
3640,pink morsel,5,452,20-02-2021,north,2260.0
3641,pink morsel,5,421,20-02-2021,south,2105.0
